Product,Brands,Unit,Image URL
Frozen Chicken,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Frozen+Chicken
Huggies Diaper,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Huggies+Diaper
Pampers Diaper,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Pampers+Diaper
Baby Shampoo,"Clinic Plus, Sunsilk, Dove",piece,https://via.placeholder.com/150?text=Baby+Shampoo
Baby Soap,"Lifebuoy, Lux, Dove, Local",litre,https://via.placeholder.com/150?text=Baby+Soap
Baby Oil,"Fortune, Dhara, Local",ml,https://via.placeholder.com/150?text=Baby+Oil
Baby Cream,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Baby+Cream
Lactogen Milk Powder,"Amul, Mother Dairy, Local",kg,https://via.placeholder.com/150?text=Lactogen+Milk+Powder
Nestle Nan,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Nestle+Nan
Medimix Soap,"Lifebuoy, Lux, Dove, Local",gm,https://via.placeholder.com/150?text=Medimix+Soap
Ayush Soap,"Lifebuoy, Lux, Dove, Local",packet,https://via.placeholder.com/150?text=Ayush+Soap
Hamam Soap,"Lifebuoy, Lux, Dove, Local",gm,https://via.placeholder.com/150?text=Hamam+Soap
Fiama Soap,"Lifebuoy, Lux, Dove, Local",litre,https://via.placeholder.com/150?text=Fiama+Soap
Cinthol Soap,"Lifebuoy, Lux, Dove, Local",packet,https://via.placeholder.com/150?text=Cinthol+Soap
Rexona Soap,"Lifebuoy, Lux, Dove, Local",piece,https://via.placeholder.com/150?text=Rexona+Soap
Shower Gel,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Shower+Gel
Face Wash (Himalaya),"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Face+Wash+(Himalaya)
Face Wash (Patanjali),"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Face+Wash+(Patanjali)
Beard Oil,"Fortune, Dhara, Local",gm,https://via.placeholder.com/150?text=Beard+Oil
Hair Gel,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Hair+Gel
Shaving Cream,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Shaving+Cream
After Shave Lotion,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=After+Shave+Lotion
Gillette Razor,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Gillette+Razor
Sanitary Pads Small Pack,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Sanitary+Pads+Small+Pack
Whisper Ultra Pack,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Whisper+Ultra+Pack
Stayfree Pack,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Stayfree+Pack
Men’s Deo (Axe),"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Men’s+Deo+(Axe)
Roll On Deo,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Roll+On+Deo
Hair Conditioner,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Hair+Conditioner
Ujala,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Ujala
Robin Blue,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Robin+Blue
Comfort Fabric Conditioner,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Comfort+Fabric+Conditioner
Surf Excel Matic,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Surf+Excel+Matic
Ariel Matic,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Ariel+Matic
Dettol Spray,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Dettol+Spray
Hand Sanitizer Sachet,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Hand+Sanitizer+Sachet
Room Freshener (Odonil),"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Room+Freshener+(Odonil)
Room Freshener Spray,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Room+Freshener+Spray
Naphthalene Balls,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Naphthalene+Balls
Steel Scrubber,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Steel+Scrubber
Mop Stick,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Mop+Stick
Cleaning Cloth,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Cleaning+Cloth
Garbage Bags,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Garbage+Bags
Dustbin (Small),"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Dustbin+(Small)
Dry Figs,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Dry+Figs
Walnuts,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Walnuts
Chilgoza,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Chilgoza
Dry Coconut Powder,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Dry+Coconut+Powder
Sunflower Seeds,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Sunflower+Seeds
Pumpkin Seeds,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Pumpkin+Seeds
Chia Seeds,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Chia+Seeds
Flax Seeds,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Flax+Seeds
Seviyan,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Seviyan
Poha Beaten Rice,"India Gate, Daawat, Local",ml,https://via.placeholder.com/150?text=Poha+Beaten+Rice
Sabudana,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Sabudana
Rava Idli Mix,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Rava+Idli+Mix
Chips Local Brand,"Lays, Bingo, Haldiram's",ml,https://via.placeholder.com/150?text=Chips+Local+Brand
Pickle (Lemon),"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Pickle+(Lemon)
Pickle (Chilli),"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Pickle+(Chilli)
Pickle (Garlic),"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Pickle+(Garlic)
Chutney Powder,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Chutney+Powder
Coconut Chutney Mix,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Coconut+Chutney+Mix
Schezwan Chutney,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Schezwan+Chutney
Green Chilli Sauce,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Green+Chilli+Sauce
Mustard Sauce,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Mustard+Sauce
Pizza Sauce,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Pizza+Sauce
Mayonnaise,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Mayonnaise
Pasta Sauce,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Pasta+Sauce
Tamarind Paste,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Tamarind+Paste
Coconut Milk Pack,"Amul, Mother Dairy, Local",piece,https://via.placeholder.com/150?text=Coconut+Milk+Pack
Paneer Butter Masala Ready Mix,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Paneer+Butter+Masala+Ready+Mix
Palak Paneer Ready Mix,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Palak+Paneer+Ready+Mix
Sketch Pen Set,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Sketch+Pen+Set
Crayons,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Crayons
Color Pencils,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Color+Pencils
Geometry Box,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Geometry+Box
Drawing Book,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Drawing+Book
Chart Papers,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Chart+Papers
A4 Paper Ream,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=A4+Paper+Ream
Scissors,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Scissors
Tape Roll,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Tape+Roll
Marker Pen,"Unbranded, local brands",packet,https://via.placeholder.com/150?text=Marker+Pen
Highlighter Pen,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Highlighter+Pen
Sticky Notes,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Sticky+Notes
Ice Tray,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Ice+Tray
Plastic Wrap,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Plastic+Wrap
Aluminium Foil,"Fortune, Dhara, Local",gm,https://via.placeholder.com/150?text=Aluminium+Foil
Paper Plates,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Paper+Plates
Disposable Glasses,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Disposable+Glasses
Disposable Spoons,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Disposable+Spoons
Plastic Bottles,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Plastic+Bottles
Steel Glass,"Unbranded, local brands",litre,https://via.placeholder.com/150?text=Steel+Glass
Steel Plate,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Steel+Plate
Tiffin Box,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Tiffin+Box
Lunch Box,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Lunch+Box
Water Jug,"Unbranded, local brands",gm,https://via.placeholder.com/150?text=Water+Jug
Thermos Flask,"Unbranded, local brands",piece,https://via.placeholder.com/150?text=Thermos+Flask
Tea Strainer,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Tea+Strainer
Gas Lighter,"Unbranded, local brands",ml,https://via.placeholder.com/150?text=Gas+Lighter
Match Stick Big Box,"Unbranded, local brands",kg,https://via.placeholder.com/150?text=Match+Stick+Big+Box
